text,link,description
"I said, that's okay, no more trade. All of a sudden they started taking their people back. It's amazing. Isn't it? They used to send to the former secretary of state of the country, please call, would you please work it so that we could take? And they used to just tell her, no, we won't take back. They take back with us every single time. We're having very little problem. Are we having any problem right now with that? Huh? You better believe it. Give me the names of the few problems. We'll take care of it, I'm telling you. It's unbelievable. One of the people that represented the other administration, I said, why didn't you use that? The power of economic? Sir, we think one thing has nothing to do with another. I said, oh, really? So we'll have big deficits and they won't take back these criminals that came from there and should be back there?",https://www.rev.com/blog/transcripts/donald-trump-speech-transcript-gang-violence-law-enforcement-police,Transcript of Donald Trump’s speech on ending gang violence to a crowd of police officers. He told police officers “
"And I will tell you when we took over a little less than three years ago, ISIS was all over the place. Now the caliphate is 100% destroyed. Do you remember when I wanted to leave when it was at 98%? I said, let some of the other countries finish it off. We're going home, right? They all said, ""Oh, no sir, please finish it."" So we finished it off to 100%.",https://www.rev.com/blog/transcripts/donald-trump-milwaukee-rally-transcript-trump-holds-rally-during-iowa-democratic-debate,"Donald Trump held a rally in Milwaukee, Wisconsin on January 14, 2020, the same night as the Iowa Democratic Debate before the Iowa Caucuses. Read the full transcript of Trump’s rally speech right here."
"They said, ""Sir, we'll be there tomorrow."" I said, ""Nope, you got to be there right now. Get them over there now."" There are thousands of soldiers. They were soldiers. You take a look at that crowd. That was not protesters. They were soldiers, and they were surrounding our embassy in Baghdad. And all of a sudden they see these beautiful, very expensive, I will tell you, brand new Apache helicopters roaming over the top. And then they see our great military. You saw them in the plane, right? Some of them were getting out of their pajamas. They were. I said, ""Don't worry about it."" I said, ""We won't put that on."" But they were sitting there and they were calling a roll call in the plane. Right? And it was a beautiful sight. And these guys were better than Tom Cruise at his best.",https://www.rev.com/blog/transcripts/donald-trump-milwaukee-rally-transcript-trump-holds-rally-during-iowa-democratic-debate,"Donald Trump held a rally in Milwaukee, Wisconsin on January 14, 2020, the same night as the Iowa Democratic Debate before the Iowa Caucuses. Read the full transcript of Trump’s rally speech right here."
"They've killed thousands of protests. We support the Iranian people and their courageous struggle for freedom. It's incredible what's going on over there. It really is. But we're watching it. We're watching very closely. And we were ready. That night when the attack was made on us, attack was made on us. Remember this, they killed an American, they killed other people just before that. And so we did what we did, right? And they said, it's our turn now. I said, you better be careful when you say it's our turn. Because we had designated targets that you wouldn't know... It would have taken him 30 years to rebuild if that was even possible. It's true, it's true. And we saw those missiles launched, and they were big and they were fast, and they were accurate. Four of them went bad. They fell way short. But 12 of them hit. And I said, man, they are quick. They knew immediately what they were, and they saw those missiles hit. I said, how bad is it? It hit a base. And an hour later or so, we get a call back. I said, how many killed? Nobody, sir.",https://www.rev.com/blog/transcripts/donald-trump-milwaukee-rally-transcript-trump-holds-rally-during-iowa-democratic-debate,"Donald Trump held a rally in Milwaukee, Wisconsin on January 14, 2020, the same night as the Iowa Democratic Debate before the Iowa Caucuses. Read the full transcript of Trump’s rally speech right here."
"I said, how many hurt? They said, nobody, sir. And I said, they just saved themselves a trillion dollars and a lot of lives. That's true. A trillion, not a billion. A trillion. So they did a very smart thing and we're not looking for regime change. They've tried that with Libya. They go, Hillary Clinton, let's get rid of Libya. Let's get rid of Gaddafi. Let's get rid of Gaddafi. How's that working out? Right? Let's get rid of Gaddafi. That was a Hillary deal. Then you had Benghazi. And see Benghazi, they didn't respond. They didn't respond. Should be. Should be.",https://www.rev.com/blog/transcripts/donald-trump-milwaukee-rally-transcript-trump-holds-rally-during-iowa-democratic-debate,"Donald Trump held a rally in Milwaukee, Wisconsin on January 14, 2020, the same night as the Iowa Democratic Debate before the Iowa Caucuses. Read the full transcript of Trump’s rally speech right here."
"Somebody said, oh sir, don't mention the light bulb. It's hard to make an elegant speech. I'm saying I brought back the light bulb. So the new light bulb costs you five times as much, and it makes you look orange. And I was more interested in the orange than I was in the cost. But you know what, if you want, you have it. And the new bulb, I don't know if you see it, it's on there. It's a hazardous waste. When that bulb ends, you're supposed to take it to a certain dump and gingerly put it in because it's loaded up with gasses. That's the new... I said to somebody today in Environmental Protection, how many people do that in the country? Sir, maybe none. They throw it into the garbage can.",https://www.rev.com/blog/transcripts/donald-trump-milwaukee-rally-transcript-trump-holds-rally-during-iowa-democratic-debate,"Donald Trump held a rally in Milwaukee, Wisconsin on January 14, 2020, the same night as the Iowa Democratic Debate before the Iowa Caucuses. Read the full transcript of Trump’s rally speech right here."
"We won't talk about toilets, but you know that's ... 10, 15, but we don't talk about that. Because I've said this three or four times, the only subject they ever talk about is toilets, so I don't mention ... but how about the shower? You go into a shower, and I have this beautiful head of hair, I need a lot of water. I need water. You go into the shower, right? You turn on the water, drip, drip, drip. I called the guy, ""Something wrong with this?"" ""No, sir. It's just the restrictor."" So you're in there five times longer than you're supposed to be. You use probably more water and it's a very unpleasant experience, right? So we're getting rid of the restrictors. You're going to have full shower flow. Full sink.",https://www.rev.com/blog/transcripts/donald-trump-milwaukee-rally-transcript-trump-holds-rally-during-iowa-democratic-debate,"Donald Trump held a rally in Milwaukee, Wisconsin on January 14, 2020, the same night as the Iowa Democratic Debate before the Iowa Caucuses. Read the full transcript of Trump’s rally speech right here."
"It helped a lot when we were paying them hundreds of millions of dollars a year. Think of it. I just said, we're not paying them anymore. All of a sudden they said, ""We would love to have our wonderful gang members back. We would love to have our gang members back, sir."" Thanks to our tireless efforts to secure the border, we have reduced illegal border crossings, seven straight months in a row, and we're being helped by our new 100 miles plus of wall. Illegal crossings are down 78% since May and we have ended catch and release. That was a tough one. Our very big and very powerful border wall is going up at a record speed and we're fully financed now. Isn't that nice?",https://www.rev.com/blog/transcripts/donald-trump-milwaukee-rally-transcript-trump-holds-rally-during-iowa-democratic-debate,"Donald Trump held a rally in Milwaukee, Wisconsin on January 14, 2020, the same night as the Iowa Democratic Debate before the Iowa Caucuses. Read the full transcript of Trump’s rally speech right here."
"Also with us is one of your own. We won the state of Michigan, and this woman was brutal. She'd call, ""Please, please one more speech, sir. One more speech."" That time she called me Mr. Trump. So the Republicans hadn't won Michigan in decades, right? And I felt we were doing good in Michigan, right? I felt we were doing good. But when you haven't won it in 38 years or something, you can feel good but you start to realize, maybe it doesn't work out. But this woman would call me and she'd say, ""You have to come.""",https://www.rev.com/blog/transcripts/donald-trump-michigan-rally-speech-transcript-october-17,"Donald Trump gave a speech at a “Supporting the American Way of Life” rally in Muskegon, Michigan. Read the full transcript of Trump’s rally speech here."
"And Hillary, they actually forgot about Hillary. And it was unexpected. And I heard about it. And I said, ""Oh, that means that they have a problem."" Because remember, they came here the night before. 500 people showed up. We had 32,000 people show up. Because Rhona, our great Rhona said, ""Sir, you got to come."" And we did. And by the time we got here, I started speaking at 1",https://www.rev.com/blog/transcripts/donald-trump-michigan-rally-speech-transcript-october-17,"Donald Trump gave a speech at a “Supporting the American Way of Life” rally in Muskegon, Michigan. Read the full transcript of Trump’s rally speech here."
"And we have these calls with governors. Mike Pence heads up the taskforce. He did a great job. We have great professionals and we took this thing and we have all the governors, usually 50 governors on the line at one time, and they're always, ""Sir, you've a great job. Thank you very much. Great job. Great job. Great job."" Your governor's down. I mean it's all down. ""Thank you very much. You've done a great job on behalf of Michigan. I'd like to thank you, ba, ba, ba."" Then she goes out, speaks to the press, "" We're very unhappy with the president.""",https://www.rev.com/blog/transcripts/donald-trump-michigan-rally-speech-transcript-october-17,"Donald Trump gave a speech at a “Supporting the American Way of Life” rally in Muskegon, Michigan. Read the full transcript of Trump’s rally speech here."
"I don't have to say I'll do it because it's all done. And the Locks were in terrible shape. You're going to lose that very quickly. And we have them. It's going to be incredible. What we're doing. They said, ""Sir, do you want to do the good job, the okay job, the passable job, a little minor renovation or a great job?"" And I said, ""Let's see, it's Michigan and a couple of other great States. Let's give him the A-plus job."" And we did. Okay? We gave you the A-plus job.",https://www.rev.com/blog/transcripts/donald-trump-michigan-rally-speech-transcript-october-17,"Donald Trump gave a speech at a “Supporting the American Way of Life” rally in Muskegon, Michigan. Read the full transcript of Trump’s rally speech here."
"We invested $2.5 trillion in the United States military. We have the greatest equipment any nation has ever had. When I came, a highly overrated general told me, ""Sir, we have no ammunition."" We maybe had to do something. ""We have no ammunition, sir."" I said, ""No president should ever hear that again."" Anyway, we spent $2.5 trillion and we have the greatest equipment, missiles, rockets, tanks, planes, fighter jets, ships, tankers, bombers. We have the greatest equipment. We have, I call it the super-duper missiles that go very fast, hydrosonic. Super-dupers, they go five to seven times faster than the fastest missile in the world. They go so fast you can't do anything. And by the way, our nuclear is rebuilt, replenished. And here's what you have to do. We had no choice. It was not in good shape. Hope to God, we never have to use any of this equipment, okay.",https://www.rev.com/blog/transcripts/donald-trump-michigan-rally-speech-transcript-october-17,"Donald Trump gave a speech at a “Supporting the American Way of Life” rally in Muskegon, Michigan. Read the full transcript of Trump’s rally speech here."
"He's got some champions with him tonight. He's here. I got to introduce him. But every once in a while, I'll ask him, ""What happened to that guy?"" He said, ""Sir, he's been shot for the last ... long time."" Should have left a long time ago. That's Joe Biden. Joe Biden, he's shot, and everybody knows it. And you know what? They ought to be ashamed, because they do interviews with him, they give him the questions, and they let him read the answer from a teleprompter, and that's the fake news.",,
"We want to put violent criminals behind bars. And tell you governor to open up your state, by the way. Open up your state. You know, just so you know, these shutdowns, we did the right thing. We had the greatest economy in the history of the world. They came in, they ... We were all seeing what was happening. We closed up. I mean, you know, you're presiding over the greatest economy in history and a group of very smart people walk in and say, ""Sir, we have to close it."" And we did the right thing. We closed it.",,
"Under the previous administration, the stockpile was depleted and never fully refilled. Most of the N-95 masks were distributed during the N1H1. Now, you know what says that, right? N1H1, who says that? Sleepy Joe Biden. Remember? He said the N1H1. I said, ""Isn't it the other way around?"" They said, ""Yes, sir."" But he said it. So it doesn't make any difference. But during the H1N1, and that's the swine flu, and it was a pandemic in '09 that was not well handled at all, got very poor marks. Never again will another President inherit empty shelves or expired products, at least hopefully in five years, you're talking about. Maybe nine years, maybe 13 years. But you'll never have to deal with empty shelves and you'll never have to deal with the depleted military. The military that we took over was depleted and in horrible shape. We've now spent $1.5 trillion rebuilding our military. We have the strongest military we've ever had by far. And this is a good time to have it too. And all of the product was built in the USA. But I'm determined that America will be fully prepared for any of the future outbreaks, of which we hope there's going to be none. Who would've thought? 1917, it could have been up to 100 million people were killed in that was the Spanish flu. 1917. Who would have thought this was going to happen? That's over 100 years ago.",https://www.rev.com/blog/transcripts/donald-trump-speech-transcript-at-pennsylvania-distribution-center-for-coronavirus-relief-supplies,"President Donald Trump gave a May 14 speech at the Owens and Minor distribution center for coronavirus relief supplies in Allentown, Pennsylvania. Read the full transcript of his remarks here."
"But I've lost five people that I know, two people were very good friends of mine and you call up two days later, ""How are they doing?"" ""Sir, they're in a coma."" I said, ""They're in a coma?"" Now, they were older. I wouldn't say they were in the greatest of health. I wouldn't say their weight was perfect, not perfect, but they're gone. So it's just a terrible, terrible thing.",https://www.rev.com/blog/transcripts/donald-trump-speech-transcript-at-pennsylvania-distribution-center-for-coronavirus-relief-supplies,"President Donald Trump gave a May 14 speech at the Owens and Minor distribution center for coronavirus relief supplies in Allentown, Pennsylvania. Read the full transcript of his remarks here."
"They loved me and I loved them, but it is a little bit colder. But you won't be shaking hands for at least a while and things will happen. But we have to put the country to work. Look, you're going to lose a number of people to the flu, but you're going to lose more people by putting a country into a massive recession or depression, you're going to lose people. You're going to have suicides by the thousands, you're going to have all sorts of things happen. You're going to have instability. You can't just come in and say, let's close up the United States of America, the biggest, the most successful country in the world by far. When I came in, when I was elected, and you knew this number, China was going to overtake us in the year 2019, wasn't even close. We went way up and they didn't. We've done great. They pay us a fortune and tariffs and everything else, and yet we have a good relationship with them. We just signed a trade deal. But we're the number one in the world by far. And now a few people walk into the Oval Office, say, ""Sir, we have to close up the country."" I said, ""What are you talking about?""",https://www.rev.com/blog/transcripts/donald-trump-coronavirus-town-hall-transcript-march-24-trump-wants-to-restart-the-economy-by-easter,"Donald Trump and the Coronavirus Task Force held a virtual town hall on Fox News today. President Trump seemed eager to reopen the country and end restrictions on businesses and gatherings by Easter, only about two weeks away. “We have to get back to work,” Trump said. Read the transcript of the town hall right here."
"Look, the ambassador, the woman, she wouldn't even put up she's an Obama person. I said, ""Why are you being so kind?"" ""Well, sir, she's a woman. We have to be nice."" She's very tough. I heard bad things. And by the way, when I was talking to presidents Zelensky, it's right on the phone. You could read it. He didn't like her. He brought up her name and he didn't like her at all. How do you have an ambassador with the president, the new president doesn't like her. Because she was so wedded in. And don't forget, Ukraine hated me. They were after me in the election. They wanted Hillary Clinton to win and when I won, all of a sudden they became so nice, they had to make up. There were many articles where they had to get to be friendly, cause we're like a gravy train for them. Okay?",https://www.rev.com/blog/transcripts/donald-trump-fox-and-friends-interview-transcript-trump-interviewed-after-impeachment-hearings,Donald Trump joined Fox and Friends this morning for an interview following the Impeachment Hearings that took place over the past couple of weeks. Read the full transcript of Trump’s interview right here on Rev.com.
"Brian, they have it. Wait, wait, wait. Just one thing. So they have it because I said, ""How much have the farmers lost because of China targeting them? Sir, $16 billion and 12 billion the previous year."" I gave them $12 billion out of the tariffs, had tens of billions leftover, and I gave them 16 billion out of the tariffs and had tens of billions leftover. It goes into the treasury. Brian, our farmers are doing great. And now we just signed a deal with Japan, $40 billion they're buying from the farmers. We just signed a deal with South Korea a tremendous deal. We're making tremendous deals, but you have to understand, these deals with China, they've been taking advantage of us for 25 years. It's hard for them to understand it's not going to happen anymore, and now they understand.",https://www.rev.com/blog/transcripts/donald-trump-fox-and-friends-interview-transcript-trump-interviewed-after-impeachment-hearings,Donald Trump joined Fox and Friends this morning for an interview following the Impeachment Hearings that took place over the past couple of weeks. Read the full transcript of Trump’s interview right here on Rev.com.
"And I will be making a big decision for the Space Force as to where it's going to be located, and I know you want it. We'll be making that decision toward the end of the year. I was here, I did your ... I met ... I was up at the Air Force Academy, and I greeted those kids, they were so great. I did the commencement address. Was anybody there? I did the commencement address. And the General said, sir, would you like to shake hands with the cadets? I said, does everyone else do it, President? Oh, yes, sir. What he didn't say is, they'll shake 10 hands. I said, so they do ... how many do you have? Sir, we have 1156 cadets. I said, you mean other people do it? Yes, sir. But they don't do 1156. They'll do 30, 40. They'll take the top 10 out of the class. I said, I'll do it.",,
"So, I had one of the teams in. They said, sir, give us the waiver, sir. They've been after the waiver. You know what the waiver is? That means that if you're a great athlete, you can go to the Air Force Academy, or Army, Navy, the Coast Guard, you can go to one of our service academies. I did the rule and we got it through Congress. And you don't have to serve. You go directly into the major leagues and to the NFL, and you serve your time after, when you get out. Isn't that great?",,
"And the Army coach, who's a great guy ... all great guys. Navy coach, Army coach, said sir, if you do that, we can compete with anybody, because we lost lot of great athletes who said, you know, we just can't do that. Now they serve their time afterwards. Isn't that great? And we did it. They've been trying to get that for so many years. But I love that group of people. I saw this guy from the home run derby, and I shook hands. Oh, I shook hands. And they come up and they're strong people. And they're shaking, and they're excited. They're a little nervous, maybe. They're meeting the President. They're a little nervous, and they're strong. They've got big, strong hands, and they're saying ... and I'm saying, hello. Sir, thank you. Man. Jeez. What are you? I'm captain of my wrestling team, sir. I admire you greatly, sir, thank you, sir.",,
"It's like ... and I'm trying to act like it doesn't hurt. By the end of the day, I'm going like ... but we did it. And then I said, wait a minute. I said, General, no other President could do that. The Presidents don't do that. He said, no, they do, sir, but they stop, usually, at around 50. Oh, that's great. But I love the Air Force Academy. And you have all of the infrastructure, so you're being very strongly considered for the Space Command. Very strongly.",,
"You know the most they ever purchased were $16 billion. You know that story. I've told it a couple of times. $16 billion was the most ever. Secretary Sonny Purdue agriculture, he's done a great job. I said, ""Who's the most? What's the biggest year?"" ""$16 billion, sir."" I said, ""All right, make it 20."" So they agreed on 20 so now we're getting ready to close the deal, biggest trade deal ever made, biggest deal ever made. We're getting ready to close the deal between that and USMCA. We're getting ready to close it. I go over, I say, ""What do you have down for the farmers? They've been great,"" although I have been helping you out. I gave you a lot of money. I gave you a lot of money. $16 billion on year, $12 billion from the year before. I took it out of the tariffs or we had a lot leftover, but think of it.",,
"But I said, ""So tell me fellas, let me ask you, what do we have? What's the number?"" "" 20 billion, sir."" They're going to purchase 20 billion worth of farm products. I said, ""Make it 50. Tell them to make it 50."" So, we went to China and they were great. You know they got 1.5 billion people. You got a lot of feeding to do. I said, ""Do me a favor, instead of 20 billion purchased from our farmers, would you make it 50?"" ""No, no, no, no, no,"" and they agreed to do it. They agreed to it.",,
"I don't think you're going to be able to make it. You better be able to make it. I don't want the farmers coming to me, sir, sir, I'm sorry we can't produce that much, sir. I said, ""Our farmers will find a way. They'll go out and buy larger tractors and they'll buy some extra land."" Go out and buy a bigger tractor or something. No, but it is true. I've had people say, ""Sir, they can't produce that much."" I said, ""Forget it."" They will. Look at them. You're a farmer. They'll figure that one out. Although Mike Bloomberg said you'll never figure it out. They'll figure it out long before him. You'll figure that one out long before him. No, I know the farmers. I'm not worried about it. $50 billion on no issue have Washington Democrats more thoroughly sold out the American people than on immigration.",,
"Nah, the 401ks, they're up 90%, 95%. I always tell this story. People come up to me. They say, ""I want to thank you. My wife thinks I'm a total loser, sir. She thinks I am the worst person with money, with financial. She thinks I'm just horrible. In the last three years, I'm up 94%, sir. She thinks I'm a total genius when it comes to finance. She loves me again. She didn't love me before, sir. She loves me again."" That tells you something about money, doesn't it?",,
"Probably the number one reason I ran for office. I'm one for one. I have friends. Some of these great senators, look at Lindsey over there and look at Rand. These great senators. Sure, I've run five times and I've won three. And other senators said ""Sir, I've won seven times, sir."" Southern senator. ""I won seven times, sir, and I've won five of those damn contests."" I said, ""Senator, I ran once and I won just once."" And we're going to run twice and that's going to be it. Although they think we're going to run much more than that, you know that, right? It scares the hell out of the fake news, I will tell you. They can't take a joke.",,
"But I went to Michigan and my opponent was told that the Republicans, no way you can win Michigan, or Wisconsin, that you just can't. And we had a campaign manager named Ronna McDaniel, and Ronna wouldn't stop. ""Sir, can you be here next week?"" I say, ""I don't know."" Then I leave and she said, ""Sir, can you come back in three days?"" I said, ""I don't know."" Then I do it and she said, ""How about another time?"" And then on election night she said, ""Sir,"" it was six o'clock the day before the election. In other words, just a short while before the election. She calls me, ""Sir, can you be here tonight?"" I said ""Tonight?"" And by the way, you know where I was? I was in New Hampshire. That's right. She said, ""Sir, can you be here tonight?"" I said, ""Are you sure?""",https://www.rev.com/blog/transcripts/donald-trump-new-hampshire-rally-transcript-august-15-2019,"Donald Trump held another campaign rally in Manchester, New Hampshire on August 15, 2019. He spoke about a range of topics including his ongoing feud with Democrat Reps. Rashida Tlaib and Ilhan Omar, voter ID laws, border & immigration policy, Obamacare and more. He was joined by Corey Lewandowski amid Lewandowski’s possible senate run. Read the full transcript of Trump’s speech below."
"The first person that I put on on the campaign, he was driving me wild. He said, ""I'm saying you can win, sir. You can win. I'm telling you, you can win."" He loves this state. He's from this state. He said, ""You can win, sir. I'm just telling you."" I had him on for month after month. He'd come drive me crazy. He'd say, ""You can win, you can win, you can win."" And finally we said, ""Let's give it a shot."" And I had Corey, I had Hope, I had just a couple of people. We had a rather lean and mean staff. But Corey Lewandowski loves your state, loves New Hampshire. He was the first one that talked about us possibly winning the whole big ballgame. He's tough and he's smart and I'm hearing he's thinking about running for the Senate from New Hampshire. There we go. I think he'd be tough to beat. I'll tell you one thing, he'll go into Washington and he's going to have you in mind. He's going to do a job if he does do it, so we'll see what happens. He hasn't made up his mind yet, but he would be fantastic. I guess it's something you go back and you talk to your family, you talk to your wife and you make a decision. They're all saying, ""Are you going to support him?"" I said, ""I don't know if he's running."" So Corey, let us know please, if you don't mind. Let us know.",https://www.rev.com/blog/transcripts/donald-trump-new-hampshire-rally-transcript-august-15-2019,"Donald Trump held another campaign rally in Manchester, New Hampshire on August 15, 2019. He spoke about a range of topics including his ongoing feud with Democrat Reps. Rashida Tlaib and Ilhan Omar, voter ID laws, border & immigration policy, Obamacare and more. He was joined by Corey Lewandowski amid Lewandowski’s possible senate run. Read the full transcript of Trump’s speech below."
"So important. One of the most powerful promises I made to the people of this state was to confront the opioid and drug epidemic. I used to go around New Hampshire more than any state and you'd say, ""Sir, the state is infested."" You said, ""Sir, we'll like a drug den."" You tell me. And I didn't really see it. And then I met with the police officers and fire departments and all the people that do. And you just seem to have a bigger problem. And by the way, the wall is being built. That's-",https://www.rev.com/blog/transcripts/donald-trump-new-hampshire-rally-transcript-august-15-2019,"Donald Trump held another campaign rally in Manchester, New Hampshire on August 15, 2019. He spoke about a range of topics including his ongoing feud with Democrat Reps. Rashida Tlaib and Ilhan Omar, voter ID laws, border & immigration policy, Obamacare and more. He was joined by Corey Lewandowski amid Lewandowski’s possible senate run. Read the full transcript of Trump’s speech below."
